trend_id,trend_name,category,date,weekly_interest,region,sentiment,related_brands,growth_rate,forecast_2025
1000,ESG Investing,Tech,2024-06-13,35,China,0.21,"Tesla, BlackRock",14.5,76
1001,DeFi 2.0,Finance,2024-01-10,20,China,0.7,"BlackRock, Tesla",9.1,89
1002,Green Hydrogen,Finance,2023-06-30,15,India,0.4,"Nike, BlackRock",8.1,54
1003,Green Hydrogen,Tech,2023-03-07,3,India,-0.31,"Tesla, OpenAI",17.1,85
1004,Green Hydrogen,Tech,2024-09-04,25,USA,0.33,"OpenAI, Tesla",17.7,54
1005,AI Agents,Sustainability,2023-10-18,7,EU,0.09,"Tesla, BlackRock",15.6,57
1006,DeFi 2.0,Finance,2024-10-01,19,China,0.29,"Nike, OpenAI",-1.9,68
1007,Green Hydrogen,Tech,2024-04-23,13,China,0.46,"OpenAI, Tesla",4.9,81
1008,ESG Investing,Sustainability,2024-07-19,55,China,0.6,"BlackRock, OpenAI",-1.8,70
1009,AI Agents,Finance,2024-02-22,40,EU,-0.33,"BlackRock, Nike",8.0,81
1010,DeFi 2.0,Finance,2024-09-09,13,India,0.43,"BlackRock, Tesla",5.2,68
1011,AI Agents,Sustainability,2023-07-10,16,USA,0.66,"Tesla, BlackRock",8.4,55
1012,DeFi 2.0,Finance,2023-10-06,16,China,0.11,"Tesla, Nike",11.8,74
1013,Green Hydrogen,Sustainability,2023-04-08,15,USA,-0.06,"BlackRock, Nike",8.3,85
1014,ESG Investing,Sustainability,2023-09-14,17,India,0.44,"Nike, BlackRock",11.2,82
1015,ESG Investing,Sustainability,2024-02-17,21,China,-0.07,"OpenAI, Tesla",13.6,65
1016,ESG Investing,Sustainability,2023-07-07,30,India,0.21,"BlackRock, OpenAI",-1.6,80
1017,ESG Investing,Finance,2023-11-11,40,USA,0.6,"Nike, BlackRock",17.3,91
1018,AI Agents,Sustainability,2023-08-22,18,EU,0.67,"OpenAI, Tesla",0.1,81
1019,DeFi 2.0,Finance,2024-06-07,20,China,0.37,"OpenAI, BlackRock",-5.0,85
1020,DeFi 2.0,Sustainability,2025-03-11,18,India,0.42,"OpenAI, BlackRock",5.3,88
